SEQ,M_MOA_CODE,M_POS_REGCODE,P_CODE,P_NAME,P_CAT_CODE,P_CAT,P_MCAT_CODE,P_MCAT,P_CAT_SEQNO,P_CAT_SUB,P_UNIT,P_BARCODE,P_LIST_PRICE,P_PROVIDER,P_SALE_PRICE,P_SALE_TITLE,P_MTIME,P_TAX_TYPE,P_INV_TYPE,P_REG_COUNT,P_IMG,IS_CUSTOM_IMAGE,P_TAGS,P_STATUS,P_MIN_STOCK,P_MIN_STOCK_DEFAULT,P_USE_MAXQTY_BRGN,P_MAXQTY_BRGN,P_MAXQTY_BRGN_DEFAULT,C_TIME,C_ID,M_TIME,M_ID,P_USE_MAXQTY_PD,P_VALUE_MAXQTY_PD,P_USE_MINQTY_PD,P_VALUE_MINQTY_PD
"3122273","M000000872","10875","8","074880030709","16","신상품",\N,\N,"293","신상품","","074880030709","600",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/S&B_S&B-골든커리-0_074880030709_1.png""}],""main"":""1"",""priority"":""1""}]","N","#8#074880030709#074880030709#신상품#","A","5","5","N","5","5","2025-02-11 09:09:35","UA60498e774f77e","2025-02-11 09:09:35",\N,"N",\N,"N",\N
"3122272","M000000872","10875","9","074880030723","16","신상품",\N,\N,"293","신상품","","074880030723","600",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/S&B_S&B-골든커리-0_074880030723_1.png""}],""main"":""1"",""priority"":""1""}]","N","#9#074880030723#074880030723#신상품#","A","5","5","N","5","5","2025-02-11 09:09:31","UA60498e774f77e","2025-02-11 09:09:31",\N,"N",\N,"N",\N
"3151703","M000000872","10875","60","배송비","7","식품",\N,\N,"189","미역","","2200000232","5000",\N,\N,\N,\N,\N,\N,\N,"[]","N","#60#2200000232#배송비#식품#미역#","A","5","5","N","5","5","2025-03-13 10:03:26","UA60498e774f77e","2025-03-13 10:03:26",\N,"N",\N,"N",\N
"3187860","M000000872","10875","278","농심생생우동봉지","7","식품",\N,\N,"161","라면류","1700류","8801043004442","1700",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/농심_농심생생우동-3입_8801043015509.png""}],""main"":""0"",""priority"":""1""}]","Y","#278#8801043004442#농심생생우동봉지#식품#라면류# 1700류 (개(구))","A","5","5","N","5","5","2025-07-08 16:46:57","UA67a301bcc277f","2025-07-08 16:47:40","UA67a301bcc277f","N",\N,"N",\N
"3153708","M000000872","10875","278","농심생생우동봉지","7","식품",\N,\N,"161","라면류","1700류","8801043015486","1550",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/d1ic4wmjy3s7tv.cloudfront.net\/product\/barcode\/농심_생생우동-250g_8801043015486.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/d1ic4wmjy3s7tv.cloudfront.net\/product\/barcode\/농심_생생우동-250g_8801043015486_2.png""}],""main"":""0"",""priority"":""2""}]","N","#278#8801043015486#농심생생우동봉지","A","5","5","N","5","5","2025-03-21 09:42:59","UA60498e774f77e","2025-09-08 15:44:10","SYSTEM","N",\N,"N",\N
"3158349","M000000872","10875","278","농심생생우동봉지","7","식품",\N,\N,"161","라면류","1700류","8801043015493","33800",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/d1ic4wmjy3s7tv.cloudfront.net\/product\/barcode\/농심_생생우동-20입_8801043015493.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/d1ic4wmjy3s7tv.cloudfront.net\/product\/barcode\/농심_생생우동-20입_8801043015493_2.png""}],""main"":""0"",""priority"":""2""}]","N","#278#8801043015493#농심생생우동봉지#식품#라면류# 1700류*20 (박스)","A","5","5","N","5","5","2025-04-14 14:25:56","UA60498e774f77e","2025-04-14 14:25:56",\N,"N",\N,"N",\N
"3154323","M000000872","10875","364","농심신라면","1","야채1",\N,\N,"87","잡곡","114g","111","1000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/농심_농심신라면-봉지_8801043014809.png""}],""main"":""0"",""priority"":""1""}]","N","#364#111#농심신라면","A","5","5","N","5","5","2025-03-25 10:29:48","UA60498e774f77e","2025-04-03 15:59:47","SYSTEM","N",\N,"N",\N
"3122280","M000000872","10875","694","2080치과놀이어린이가글바나나맛","10","비식품",\N,\N,"228","구강용품","250ml","8801046242469","4000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-2080치과놀이어린이가글-바나나맛-250ml_8801046242469_1.png""}],""main"":""1"",""priority"":""1""}]","N","#694#8801046242469#2080치과놀이어린이가글바나나맛#비식품#구강용품# 250ml","A","5","5","N","5","5","2025-02-11 09:10:05","UA60498e774f77e","2025-02-11 09:10:05",\N,"N",\N,"N",\N
"3122301","M000000872","10875","701","2080 9모션칫솔","10","비식품",\N,\N,"228","구강용품","1입","8801046247631","2400",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080나인모션칫솔-일반모_8801046247631_1.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080나인모션칫솔-일반모_8801046247631_2.png""}],""main"":""0"",""priority"":""2""}]","N","#701#8801046247631#2080 9모션칫솔#비식품#구강용품# 1입","A","5","5","N","5","5","2025-02-11 09:11:16","UA60498e774f77e","2025-02-11 09:11:16",\N,"N",\N,"N",\N
"3122287","M000000872","10875","717","2080키즈칫솔","10","비식품",\N,\N,"228","구강용품","4단계","8801046261286","3000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080키즈-4스켑크리닉이중미세모칫솔-8세이상-1개_8801046261286_1.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_키즈크리닉-향균모-1입_8801046261286_2.png""}],""main"":""0"",""priority"":""2""}]","N","#717#8801046261286#2080키즈칫솔#비식품#구강용품# 4단계","A","5","5","N","5","5","2025-02-11 09:10:26","UA60498e774f77e","2025-02-11 09:10:26",\N,"N",\N,"N",\N
